vehicle_id,last_updated,previous_stop,next_stop,origin_stop,destination_stop,lat,lon,route
2020,2025-11-13T14:55:33-06:00,Fourth and Peabody,First and Stadium,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.101483,-88.233867,ILLINI North
2018,2025-11-13T14:52:12-06:00,Unknown,Pennsylvania and Maryland Dr.,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099467,-88.2209,ILLINI North
2260,2025-11-13T14:55:39-06:00,Gregory at Library,Goodwin and Gregory,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.10415,-88.225833,ILLINI South
2261,2025-11-13T14:55:39-06:00,Atrium Apts,Lincoln and Kettering Park,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.127083,-88.219433,ILLINI North
2022,2025-11-13T14:55:36-06:00,Campus Circle,Goodwin and Main,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.1164,-88.222917,ILLINI South
2365,2025-11-13T14:55:36-06:00,Transit Plaza,Goodwin at Materials Research,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.11045,-88.225883,ILLINI North
2017,2025-11-13T14:55:39-06:00,Illinois Street Residence Hall,Goodwin and Nevada,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.107783,-88.22395,ILLINI North
2367,2025-11-13T14:56:39-06:00,Goodwin and Main,Green and Goodwin,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.111583,-88.224017,ILLINI South
2020,2025-11-13T14:56:30-06:00,Activities and Recreation,First and Gregory,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.10145,-88.2367,ILLINI North
2018,2025-11-13T14:52:12-06:00,Unknown,Pennsylvania and Maryland Dr.,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099467,-88.2209,ILLINI North
2260,2025-11-13T14:56:39-06:00,Goodwin and Gregory,Krannert Center,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.104817,-88.2238,ILLINI South
2261,2025-11-13T14:56:39-06:00,Lincoln and Kettering Park,Linview and Killarney,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.129883,-88.2182,ILLINI North
2022,2025-11-13T14:56:36-06:00,Campus Circle,Goodwin and Main,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.1158,-88.2241,ILLINI South
2365,2025-11-13T14:56:27-06:00,Illini Union,Goodwin and Main,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.110517,-88.2242,ILLINI North
2017,2025-11-13T14:56:27-06:00,Chemical and Life Sciences,Goodwin and Gregory,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.106933,-88.2239,ILLINI North
2367,2025-11-13T14:57:36-06:00,Goodwin at Ceramics Building,Illini Union,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.110917,-88.223983,ILLINI South
2020,2025-11-13T14:57:30-06:00,Activities and Recreation,First and Gregory,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.1026,-88.2386,ILLINI North
2018,2025-11-13T14:52:12-06:00,Unknown,Pennsylvania and Maryland Dr.,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099467,-88.2209,ILLINI North
2260,2025-11-13T14:57:33-06:00,Goodwin and Gregory,Krannert Center,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.106233,-88.223783,ILLINI South
2261,2025-11-13T14:57:36-06:00,Linview and Killarney,Unknown,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.132383,-88.2195,ILLINI North
2022,2025-11-13T14:57:36-06:00,Goodwin and Main,Green and Goodwin,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.11205,-88.224,ILLINI South
2365,2025-11-13T14:57:33-06:00,Goodwin at Materials Research,University and Goodwin,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.113267,-88.22395,ILLINI North
2017,2025-11-13T14:57:42-06:00,Goodwin and Gregory,Gregory at Library,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.1046,-88.223883,ILLINI North
2367,2025-11-13T14:58:39-06:00,Green and Goodwin,Transit Plaza,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.1105,-88.225333,ILLINI South
2020,2025-11-13T14:58:30-06:00,First and Gregory,First and Daniel,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.105217,-88.238633,ILLINI North
2018,2025-11-13T14:58:39-06:00,Unknown,Pennsylvania and Maryland Dr.,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099467,-88.2209,ILLINI North
2260,2025-11-13T14:58:36-06:00,Goodwin and Nevada,Illinois Street Residence Hall,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.108267,-88.2238,ILLINI South
2261,2025-11-13T14:58:33-06:00,Lincoln and Kettering Park,ONYX Apartments,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.127983,-88.219617,ILLINI South
2022,2025-11-13T14:58:39-06:00,Goodwin at Ceramics Building,Illini Union,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.11125,-88.224,ILLINI South
2365,2025-11-13T14:58:33-06:00,Goodwin and Main,Lincoln and Church,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.116067,-88.223933,ILLINI North
2017,2025-11-13T14:58:27-06:00,Goodwin and Gregory,Gregory at Library,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.1042,-88.22555,ILLINI North
2367,2025-11-13T14:59:36-06:00,Green and Goodwin,Transit Plaza,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.110317,-88.2276,ILLINI South
2020,2025-11-13T14:59:39-06:00,First and Armory,Third and Daniel,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.107883,-88.238167,ILLINI North
2018,2025-11-13T14:59:39-06:00,Unknown,Pennsylvania and Maryland Dr.,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099467,-88.2209,ILLINI North
2260,2025-11-13T14:59:30-06:00,Krannert Center,Lincoln and Illinois,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.109017,-88.221783,ILLINI South
2261,2025-11-13T14:59:30-06:00,LINC Apartments,Lincoln and Wascher,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.124967,-88.21955,ILLINI South
2022,2025-11-13T14:59:39-06:00,Goodwin at Ceramics Building,Illini Union,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.110533,-88.225,ILLINI South
2365,2025-11-13T14:59:33-06:00,University and Goodwin,Fairview and Lincoln,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.11635,-88.221617,ILLINI North
2017,2025-11-13T14:59:27-06:00,Gregory at Mumford Hall,Fourth and Gregory,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.104183,-88.228583,ILLINI North
